YEAR,USA
3/1/2015,216.23
4/1/2015,217.1
5/1/2015,218.37
6/1/2015,219.37
7/1/2015,220.28
8/1/2015,220.67
9/1/2015,222.28
10/1/2015,223.27
11/1/2015,224.68
12/1/2015,225.64
1/1/2016,227.01
2/1/2016,227.46
3/1/2016,229.11
4/1/2016,229.97
5/1/2016,230.99
6/1/2016,232.14
7/1/2016,233.43
8/1/2016,234.69
9/1/2016,236.26
10/1/2016,237.42
11/1/2016,239.02
12/1/2016,240.03
1/1/2017,240.5
2/1/2017,242.73
3/1/2017,244.02
4/1/2017,245.83
5/1/2017,246.75
6/1/2017,247.48
7/1/2017,248.86
8/1/2017,250.79
9/1/2017,252.12
10/1/2017,253.91
11/1/2017,255.26
12/1/2017,256.62
1/1/2018,258.69
2/1/2018,261.35
3/1/2018,261.65
4/1/2018,262.57
5/1/2018,263.59
6/1/2018,264.4
7/1/2018,265.36
8/1/2018,266.04
